04 August 2017 12:53:19
Time (ms),HR (bpm),R-R (ms)
284272,83,840
285113,83,841
285998,82,885
286939,81,941
287799,79,860
288760,78,961
289685,76,925
290628,75,943
291497,73,869
292441,71,944
293338,71,897
294170,70,832
295014,69,844
295941,69,927
296890,68,949
297768,68,878
298708,67,940
299679,67,971
300579,67,900
301563,67,984
302531,67,968
303409,67,878
304261,67,852
305217,66,956
306104,66,887
307099,66,995
308209,66,1110
309190,65,981
310218,65,1028
311219,65,1001
312133,64,914
313106,64,973
314137,64,1031
315101,63,964
316130,63,1029
317170,63,1040
318184,62,1014
319277,62,1093
320344,61,1067
321359,61,1015
322411,60,1052
323432,60,1021
324382,60,950
325386,60,1004
326423,59,1037
327396,59,973
328377,59,981
329394,59,1017
330363,59,969
331327,60,964
332261,60,934
333171,60,910
334137,60,966
335124,61,987
335992,61,868
336881,62,889
337865,62,984
338824,62,959
339684,63,860
340553,64,869
341401,64,848
342223,64,822
343003,65,780
343735,66,732
344463,66,728
345299,67,836
346250,68,951
347103,69,853
348004,70,901
348966,71,962
349907,71,941
350774,71,867
351667,71,893
352597,71,930
353479,71,882
354376,71,897
355354,71,978
356410,70,1056
357421,69,1011
358570,68,1149
359689,68,1119
360716,68,1027
361741,67,1025
362764,65,1023
363744,64,980
364795,63,1051
365827,62,1032
366755,61,928
367751,60,996
368733,60,982
369609,59,876
370546,59,937
371527,59,981
372450,60,923
373378,60,928
374300,62,922
375213,62,913
376057,62,844
376925,63,868
377806,64,881
378691,64,885
379671,65,980
380664,65,993
381559,66,895
382447,66,888
383350,66,903
384245,67,895
385142,67,897
386079,67,937
386990,67,911
387900,67,910
388827,67,927
389748,66,921
390581,66,833
391438,67,857
392324,67,886
393223,67,899
394074,67,851
394972,67,898
395896,67,924
396795,68,899
397713,68,918
398666,68,953
399600,68,934
400505,68,905
401432,68,927
402387,68,955
403298,67,911
404263,67,965
405257,67,994
406196,66,939
407137,66,941
408100,65,963
409033,65,933
409993,65,960
410969,65,976
411962,64,993
412905,64,943
413933,64,1028
414948,64,1015
415896,63,948
416807,63,911
417649,63,842
418476,63,827
419292,63,816
420117,63,825
420902,63,785
421681,64,779
422445,66,764
423182,66,737
423881,67,699
424552,70,671
425298,70,746
426047,72,749
426955,74,908
427905,76,950
428830,77,925
429688,77,858
430560,77,872
431393,77,833
432213,77,820
433046,77,833
433899,76,853
434759,75,860
435622,75,863
436472,74,850
437260,73,788
438102,72,842
438992,72,890
439871,71,879
440753,71,882
441668,71,915
442611,71,943
443570,71,959
444464,71,894
445325,71,861
446136,70,811
446881,70,745
447620,69,739
448365,69,745
449155,69,790
450064,69,909
451040,69,976
451977,69,937
452980,69,1003
453991,69,1011
454924,69,933
455779,69,855
456638,69,859
457497,68,859
458349,68,852
459197,68,848
460099,67,902
461060,67,961
461993,67,933
462935,67,942
463880,67,945
464790,67,910
465694,67,904
466632,67,938
467561,67,929
468456,67,895
469369,67,913
470368,66,999
471311,66,943
472253,66,942
473219,66,966
474176,65,957
475131,65,955
476137,65,1006
477101,65,964
478015,65,914
478951,64,936
479883,64,932
480781,64,898
481694,64,913
482618,64,924
483512,64,894
484407,64,895
485328,64,921
486211,65,883
487125,65,914
488055,66,930
488939,66,884
489814,66,875
490704,66,890
491594,66,890
492454,67,860
493353,67,899
494257,67,904
495125,67,868
496005,67,880
496900,68,895
497790,68,890
498660,68,870
499567,68,907
500519,68,952
501433,68,914
502334,68,901
503269,68,935
504175,68,906
505046,68,871
505932,68,886
506854,67,922
507745,67,891
508622,67,877
509509,67,887
510391,67,882
511225,67,834
512080,67,855
512992,67,912
513922,68,930
514853,68,931
515789,68,936
516670,68,881
517520,68,850
518376,68,856
519267,68,891
520127,68,860
521005,68,878
521905,68,900
522813,68,908
523713,68,900
524603,68,890
525471,68,868
526306,68,835
527134,68,828
527974,69,840
528743,69,769
529519,69,776
530317,69,798
531159,70,842
532064,70,905
532993,71,929
533882,71,889
534775,72,893
535662,72,887
536498,72,836
537301,72,803
538103,72,802
538938,72,835
539786,71,848
540642,71,856
541562,71,920
542502,71,940
543397,71,895
544299,70,902
545201,70,902
546081,70,880
546918,70,837
547770,70,852
548659,70,889
549556,69,897
550456,69,900
551389,69,933
552332,69,943
553213,68,881
554140,68,927
555058,68,918
555901,68,843
556729,68,828
557602,68,873
558573,68,971
559505,68,932
560405,67,900
561278,67,873
562120,67,842
562926,67,806
563739,68,813
564514,68,775
565333,68,819
566221,69,888
567144,69,923
568107,70,963
569103,70,996
570054,70,951
570976,70,922
571893,70,917
572809,70,916
573651,69,842
574493,69,842
575341,69,848
576178,68,837
576979,68,801
577794,68,815
578615,68,821
579420,68,805
580188,69,768
580977,69,789
581819,70,842
582709,71,890
583662,72,953
584565,73,903
585456,73,891
586354,73,898
587227,73,873
588011,72,784
588766,72,755
589530,71,764
590287,71,757
591027,71,740
591753,71,726
592474,72,721
593185,72,711
593887,73,702
594594,75,707
595307,75,713
596028,77,721
596775,78,747
597552,81,777
598337,81,785
599097,82,760
599859,83,762
600626,83,767
601375,83,749
602112,83,737
602869,82,757
603679,81,810
604548,81,869
605433,81,885
606386,80,953
607381,80,995
608331,80,950
609289,80,958
610233,79,944
611112,77,879
611988,75,876
612888,72,900
613778,72,890
614615,71,837
615523,70,908
616489,68,966
617432,67,943
618338,66,906
619268,66,930
620222,66,954
621087,67,865
621952,67,865
622815,67,863
623672,67,857
624504,67,832
625377,67,873
626312,67,935
627230,68,918
628197,68,967
629152,68,955
630007,68,855
630873,68,866
631750,68,877
632608,68,858
633441,68,833
634313,68,872
635203,68,890
636077,68,874
636998,68,921
637963,68,965
638869,68,906
639760,68,891
640657,69,897
641508,69,851
642335,69,827
643171,69,836
644047,69,876
644918,68,871
645777,68,859
